"Gênero","Horas de trabalho reprodutivo","Ansiedade-traço","Ansiedade-estado","NASA-TLX","Demanda mental","Demanda física","Demanda temporal","Demanda de desempenho","Esforço","Frustração"
"Mulher","Abaixo de 2 horas",76.0,76.0,7.13333333333333,21.0,12.0,18.0,16.0,16.0,24.0
"Mulher","Entre 2 e 4 horas",67.0,79.0,8.33333333333333,8.0,0.0,9.0,32.0,36.0,40.0
"Mulher","Abaixo de 2 horas",64.0,64.0,5.86666666666667,27.0,0.0,5.0,6.0,20.0,30.0
"Homem","Entre 2 e 4 horas",52.0,49.0,7.66666666666667,45.0,5.0,16.0,21.0,28.0,0.0
"Mulher","Entre 2 e 4 horas",63.0,57.0,7.6,8.0,18.0,32.0,40.0,16.0,0.0
"Homem","Entre 2 e 4 horas",37.0,55.0,2.0,5.0,6.0,8.0,3.0,8.0,0.0
"Mulher","Abaixo de 2 horas",63.0,70.0,6.66666666666667,40.0,10.0,16.0,0.0,4.0,30.0
"Mulher","Acima de 4 horas",45.0,72.0,7.53333333333333,6.0,2.0,15.0,0.0,38.0,40.0
"Mulher","Entre 2 e 4 horas",73.0,78.0,3.8,12.0,0.0,16.0,6.0,3.0,20.0
"Mulher","Entre 2 e 4 horas",40.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
"Mulher","Entre 2 e 4 horas",54.0,70.0,8.2,30.0,10.0,18.0,7.0,50.0,8.0
"Mulher","Entre 2 e 4 horas",48.0,52.0,4.93333333333333,18.0,0.0,10.0,10.0,16.0,20.0
"Mulher","Acima de 4 horas",69.0,71.0,7.4,8.0,16.0,12.0,2.0,36.0,40.0
"Mulher","Entre 2 e 4 horas",67.0,58.0,7.8,32.0,24.0,0.0,7.0,14.0,40.0
"Mulher","Entre 2 e 4 horas",47.0,55.0,7.4,45.0,7.0,2.0,18.0,36.0,3.0
"Mulher","Acima de 4 horas",69.0,80.0,7.46153846153846,7.0,2.0,18.0,9.0,40.0,21.0
"Homem","Entre 2 e 4 horas",59.0,56.0,8.2,6.0,0.0,40.0,32.0,27.0,18.0
"Mulher","Entre 2 e 4 horas",59.0,69.0,7.86666666666667,36.0,28.0,12.0,6.0,36.0,0.0
"Mulher","Entre 2 e 4 horas",57.0,48.0,2.26666666666667,9.0,2.0,3.0,5.0,15.0,0.0
"Mulher","Entre 2 e 4 horas",75.0,81.0,9.73333333333333,30.0,18.0,8.0,0.0,40.0,50.0
"Mulher","Acima de 4 horas",49.0,45.0,8.66666666666667,40.0,0.0,30.0,4.0,32.0,40.0
"Homem","Abaixo de 2 horas",67.0,73.0,8.33333333333333,16.0,0.0,0.0,36.0,45.0,28.0
"Mulher","Entre 2 e 4 horas",53.0,59.0,7.46666666666667,5.0,0.0,24.0,20.0,18.0,45.0
"Mulher","Abaixo de 2 horas",58.0,72.0,2.66666666666667,8.0,6.0,4.0,0.0,12.0,10.0
"Homem","Acima de 4 horas",67.0,39.0,2.66666666666667,9.0,0.0,3.0,0.0,9.0,9.0
"Homem","Acima de 4 horas",47.0,41.0,9.73333333333333,40.0,0.0,2.0,0.0,3.0,18.0
"Homem","Acima de 4 horas",69.0,37.0,2.26666666666667,8.0,2.0,12.0,2.0,0.0,0.0
"Homem","Acima de 4 horas",59.0,53.0,7.8,32.0,0.0,0.0,10.0,1.0,12.0
